comparison,metric,n_paired,n_zero_differences,baseline_median,igkf_median,median_paired_difference,wilcoxon_statistic,raw_p_value,effect_size_rank_biserial_proxy,zero_method,missing_pair_count,adjusted_p_value,multiple_comparison_correction
qwen3_8b_baseline vs qwen3_8b_igkf,answer_relevance,205,66,4.0,5.0,1.0,878.0,1.627297489462844e-17,0.0415818138763911,wilcox,0,1.627297489462844e-17,holm
qwen3_8b_baseline vs qwen3_8b_igkf,biomedical_factual_correctness,205,28,3.0,5.0,2.0,1180.0,3.342332303914165e-23,0.055884442339569,wilcox,0,1.336932921565666e-22,holm
qwen3_8b_baseline vs qwen3_8b_igkf,completeness,205,28,2.0,4.0,1.0,978.0,1.2296749780949924e-24,0.0463177835661851,wilcox,0,7.378049868569954e-24,holm
qwen3_8b_baseline vs qwen3_8b_igkf,uncertainty_abstention,205,47,3.0,5.0,1.0,1095.0,1.0859373430240662e-19,0.0518588681032441,wilcox,0,2.1718746860481323e-19,holm
gpt_5_4_mini_baseline vs gpt_5_4_mini_igkf,answer_relevance,205,76,4.0,5.0,1.0,286.0,1.1277050245914022e-20,0.0135448733128107,wilcox,0,3.383115073774206e-20,holm
gpt_5_4_mini_baseline vs gpt_5_4_mini_igkf,biomedical_factual_correctness,205,23,3.0,5.0,2.0,624.5,6.3051747696901895e-28,0.0295761307127634,wilcox,0,4.413622338783133e-27,holm
gpt_5_4_mini_baseline vs gpt_5_4_mini_igkf,completeness,205,12,3.0,5.0,2.0,541.5,2.3090183811719046e-30,0.0256452758702344,wilcox,0,1.847214704937524e-29,holm
gpt_5_4_mini_baseline vs gpt_5_4_mini_igkf,uncertainty_abstention,205,62,4.0,5.0,1.0,208.0,1.017839958351515e-23,0.0098508169547714,wilcox,0,5.089199791757575e-23,holm
