comparison,left_condition,right_condition,metric,paired_N,missing_pair_count,left_median,right_median,median_paired_difference,q1_paired_difference,q3_paired_difference,mean_paired_difference,percent_improved,percent_unchanged,percent_worsened,wilcoxon_statistic,raw_p_value,zero_method,contrast_family,holm_adjusted_p_value,multiple_comparison_correction
graph-only vs literature-only,qwen3_8b_literature_only,qwen3_8b_graph_only,answer_relevance,205,0,4.0,5.0,0.0,0.0,1.0,0.3170731707317073,42.4390243902439,36.09756097560975,21.463414634146343,3017.5,0.0022109210791885223,wilcox,secondary_ablation_contrast,0.0022109210791885223,holm
graph-only vs literature-only,qwen3_8b_literature_only,qwen3_8b_graph_only,biomedical_factual_correctness,205,0,4.0,5.0,1.0,0.0,2.0,1.048780487804878,55.60975609756098,31.70731707317073,12.682926829268293,1349.5,4.880879950204953e-14,wilcox,secondary_ablation_contrast,1.9523519800819812e-13,holm
graph-only vs literature-only,qwen3_8b_literature_only,qwen3_8b_graph_only,completeness,205,0,3.0,4.0,1.0,-1.0,2.0,0.5463414634146342,55.1219512195122,16.097560975609756,28.780487804878046,4943.5,0.00010387255932202574,wilcox,secondary_ablation_contrast,0.0002077451186440515,holm
graph-only vs literature-only,qwen3_8b_literature_only,qwen3_8b_graph_only,uncertainty_abstention,205,0,4.0,5.0,0.0,0.0,2.0,0.7170731707317073,41.46341463414634,43.90243902439025,14.634146341463413,1309.5,1.0060433699048532e-08,wilcox,secondary_ablation_contrast,3.01813010971456e-08,holm
